zcta5,white,black,api,native,multiple,hispanic
00601,0.0043,0.0001,0.0001,0.0001,0.0,0.9955
00602,0.0052,0.0003,0.0004,0.0,0.0002,0.994
00603,0.0115,0.0018,0.0009,0.0,0.0004,0.9853
00606,0.0048,0.0005,0.0006,0.0,0.0002,0.994
00610,0.0064,0.0008,0.0003,0.0,0.0002,0.9923
00612,0.0066,0.0007,0.0007,0.0001,0.0004,0.9916
00616,0.0033,0.001,0.0001,0.0001,0.0001,0.9955
00617,0.0045,0.0007,0.0006,0.0,0.0001,0.9941
00622,0.0164,0.001,0.0004,0.0,0.0006,0.9815
00623,0.0076,0.0007,0.0004,0.0,0.0003,0.991
00624,0.0052,0.0005,0.0004,0.0,0.0002,0.9937
00627,0.005,0.0003,0.0003,0.0003,0.0001,0.9941
00631,0.0032,0.0,0.0022,0.0,0.0,0.9946
00637,0.0042,0.0003,0.0002,0.0001,0.0002,0.9951
00638,0.0024,0.0003,0.0,0.0001,0.0004,0.9969
00641,0.0046,0.0001,0.0004,0.0001,0.0002,0.9946
00646,0.0161,0.0012,0.0013,0.0001,0.0004,0.9809
00647,0.0068,0.001,0.0002,0.0,0.0,0.9921
00650,0.0048,0.0005,0.0004,0.0,0.0001,0.9943
00652,0.01,0.0002,0.0,0.0,0.0002,0.9896
00653,0.0043,0.0008,0.0002,0.0002,0.0001,0.9944
00656,0.003,0.0009,0.0004,0.0,0.0002,0.9954
00659,0.0064,0.0008,0.0007,0.0001,0.0001,0.9919
00660,0.0037,0.0004,0.0006,0.0001,0.0005,0.9947
00662,0.0078,0.0008,0.0008,0.0,0.0002,0.9905
00664,0.0027,0.0004,0.0005,0.0001,0.0001,0.9963
00667,0.0057,0.0003,0.0005,0.0,0.0,0.9934
00669,0.0066,0.0001,0.0002,0.0,0.0001,0.993
00670,0.0057,0.0001,0.0001,0.0,0.0002,0.9939
00674,0.0061,0.0007,0.0004,0.0,0.0001,0.9926
00676,0.0046,0.0005,0.0003,0.0,0.0001,0.9944
00677,0.0323,0.0012,0.001,0.0001,0.0003,0.9652
00678,0.0054,0.0003,0.0005,0.0,0.0001,0.9938
00680,0.0069,0.0013,0.0006,0.0002,0.0002,0.9908
00682,0.006999999999999999,0.0013,0.0029,0.0,0.0004,0.9884
00683,0.0061,0.0009,0.0005,0.0001,0.0003,0.9921
00685,0.0055,0.0006,0.0005,0.0,0.0002,0.9932
00687,0.0044,0.0006,0.0004,0.0001,0.0002,0.9943
00688,0.0048,0.0009,0.0004,0.0,0.0001,0.9938
00690,0.0118,0.0006,0.0016,0.0,0.0002,0.9858
00692,0.0091,0.0018,0.001,0.0002,0.0003,0.9875
00693,0.0056,0.0007,0.0004,0.0,0.0003,0.993
00694,0.003,0.0,0.0,0.0,0.0,0.997
00698,0.0038,0.0002,0.0005,0.0001,0.0002,0.9951
00703,0.0035,0.0004,0.0002,0.0,0.0001,0.9957
00704,0.0026,0.0011,0.0,0.0,0.0001,0.9963
00705,0.0054,0.0004,0.0001,0.0,0.0006,0.9936
00707,0.0063,0.0006,0.0002,0.0001,0.0002,0.9926
00714,0.0065,0.0016,0.0003,0.0,0.0006,0.9909
00715,0.0014,0.0003,0.0,0.0,0.0,0.9984
00716,0.0088,0.0007,0.001,0.0,0.0005,0.9889
00717,0.0071,0.0009,0.0012,0.0002,0.0005,0.99
00718,0.0054,0.0013,0.0006,0.0,0.0004,0.9923
00719,0.0036,0.0005,0.0003,0.0001,0.0002,0.9954
