name,white,black,api,native,multiple,hispanic
AARON,0.9161,0.0326,0.0206,0.0006,0.0014,0.0288
ABBAS,0.7119,0.0339,0.2542,0.0,0.0,0.0
ABBEY,0.9649,0.0351,0.0,0.0,0.0,0.0
ABBIE,0.9595,0.027,0.0,0.0,0.0,0.0135
ABBY,0.9466,0.0153,0.0229,0.0,0.0,0.0153
ABDUL,0.4434,0.0679,0.4751,0.0045,0.0045,0.0045
ABDULLAH,0.6591,0.0909,0.2273,0.0,0.0,0.0227
ABE,0.7742,0.129,0.0323,0.0,0.0,0.0645
ABEL,0.1284,0.0214,0.0245,0.0,0.0,0.8257
ABELARDO,0.0921,0.0,0.1184,0.0,0.0,0.7895
ABHIJIT,0.1765,0.0,0.8235,0.0,0.0,0.0
ABHISHEK,0.0,0.0,1.0,0.0,0.0,0.0
ABIGAIL,0.8158,0.0144,0.0479,0.0,0.0,0.122
ABNER,0.3415,0.122,0.1463,0.0,0.0,0.3902
ABRAHAM,0.477,0.0775,0.1235,0.0145,0.0,0.3075
ABRAM,0.8139,0.0698,0.0233,0.0,0.0,0.093
ADA,0.5327,0.0704,0.0854,0.005,0.0,0.3065
ADALBERTO,0.058,0.0,0.0,0.0,0.0,0.942
ADAM,0.9615,0.0064,0.0102,0.0008,0.0013,0.0199
ADAN,0.0548,0.0206,0.0068,0.0,0.0,0.9178
ADDIE,0.6735,0.2653,0.0204,0.0204,0.0,0.0204
ADEL,0.7143,0.052,0.1429,0.0,0.0,0.0909
ADELA,0.2869,0.0,0.082,0.0,0.0,0.6312
ADELAIDA,0.1364,0.0,0.3409,0.0,0.0,0.5227
ADELAIDE,0.7561,0.122,0.0,0.0,0.0,0.122
ADELE,0.9378,0.0259,0.0259,0.0,0.0052,0.0052
ADELINA,0.2581,0.0161,0.0806,0.0161,0.0,0.629
ADELINE,0.6515,0.0758,0.1515,0.0,0.0151,0.1061
ADINA,0.8909,0.0546,0.0182,0.0,0.0,0.0364
ADMIR,1.0,0.0,0.0,0.0,0.0,0.0
ADNAN,0.6667,0.0151,0.303,0.0151,0.0,0.0
ADOLFO,0.1006,0.0056,0.0223,0.0,0.0,0.8715
ADOLPH,0.7273,0.1591,0.0,0.0,0.0,0.1136
ADRIA,0.9,0.0,0.0,0.0,0.0,0.1
ADRIAN,0.4925,0.111,0.0266,0.0035,0.0035,0.363
ADRIANA,0.3599,0.0082,0.0061,0.002,0.0,0.6237
ADRIANE,0.7586,0.1552,0.0172,0.0,0.0,0.069
ADRIANNA,0.5,0.0333,0.0333,0.0,0.0,0.4333
ADRIANNE,0.8947,0.0632,0.0105,0.0,0.0,0.0316
ADRIENNE,0.8339,0.1273,0.0155,0.0016,0.0016,0.0202
AFSHIN,0.8378,0.0,0.1351,0.0,0.027,0.0
AGATA,0.9792,0.0,0.0,0.0,0.0,0.0208
AGATHA,0.6111,0.1667,0.1667,0.0278,0.0,0.0278
AGNES,0.679,0.108,0.1761,0.0057,0.0,0.0312
AGNIESZKA,0.9615,0.0096,0.0096,0.0,0.0,0.0192
AGUSTIN,0.0586,0.0042,0.0377,0.0,0.0,0.8996
AHMAD,0.6748,0.0368,0.2638,0.0123,0.0061,0.0061
AHMED,0.6534,0.0852,0.2273,0.0,0.0227,0.0114
AHMET,0.9062,0.0,0.0312,0.0,0.0,0.0625
AI,0.0968,0.0,0.871,0.0,0.0,0.0323
AIDA,0.3785,0.0094,0.1542,0.0,0.0,0.4579
AILEEN,0.6559,0.0215,0.2258,0.0,0.0054,0.0914
AIMEE,0.9345,0.0033,0.0311,0.0016,0.0016,0.0278
AISHA,0.25,0.5972,0.0972,0.0,0.0,0.0556
AJAY,0.2532,0.0065,0.7078,0.0195,0.0065,0.0065
AJIT,0.2059,0.0,0.7794,0.0,0.0,0.0147
AKBAR,0.4839,0.0,0.5161,0.0,0.0,0.0
AKIKO,0.2727,0.0303,0.6667,0.0,0.0,0.0303
AL,0.7391,0.1087,0.087,0.0109,0.0,0.0544
ALAIN,0.6667,0.1053,0.0789,0.0,0.0088,0.1404
ALAINA,0.9454,0.0182,0.0182,0.0,0.0,0.0182
